title,company_name,skills,location_city,skills_cleaned,skills_count,role
.NET Developer,Global Company,C#; VB.NET basics; .NET Framework; .NET Core fundamentals; ASP.NET; MVC; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; LINQ; Visual Studio; Git; Unit Testing basics,Remote/International,"c#, vb.net basics, .net framework, .net core fundamentals, asp.net, mvc, html, css, javascript basics, sql server, entity framework basics, linq, visual studio, git, unit testing basics",15,Other Tech
.NET Developer,Global Company,C#; .NET Framework basics; ASP.NET; Razor; HTML; CSS; JavaScript basics; SQL Server; Entity Framework basics; NUnit basics,Remote/International,"c#, .net framework basics, asp.net, razor, html, css, javascript basics, sql server, entity framework basics, nunit basics",10,Other Tech
.NET Developer,Global Company,C#; VB.NET basics; .NET Core; ASP.NET MVC; HTML; CSS; JavaScript basics; SQL Server; Git,Remote/International,"c#, vb.net basics, .net core, asp.net mvc, html, css, javascript basics, sql server, git",9,Other Tech
.NET Developer,Global Company,C#; .NET Framework; ASP.NET basics; SQL Server; HTML; CSS; LINQ; Visual Studio,Remote/International,"c#, .net framework, asp.net basics, sql server, html, css, linq, visual studio",8,Other Tech
.NET Developer,Global Company,C#; ASP.NET; MVC; Entity Framework basics; SQL Server; HTML; CSS; JavaScript basics,Remote/International,"c#, asp.net, mvc, entity framework basics, sql server, html, css, javascript basics",8,Other Tech
.NET Developer,Global Company,C#; .NET Framework; ASP.NET; Razor; SQL Server; Git; NUnit basics,Remote/International,"c#, .net framework, asp.net, razor, sql server, git, nunit basics",7,Other Tech
.NET Developer,Global Company,C#; VB.NET; .NET Core basics; ASP.NET MVC; HTML; CSS; SQL Server; Visual Studio,Remote/International,"c#, vb.net, .net core basics, asp.net mvc, html, css, sql server, visual studio",8,Other Tech
.NET Developer,Global Company,C#; .NET Framework basics; ASP.NET MVC; Entity Framework basics; SQL Server; LINQ,Remote/International,"c#, .net framework basics, asp.net mvc, entity framework basics, sql server, linq",6,Other Tech
.NET Developer,Global Company,C#; .NET Framework; ASP.NET; HTML; CSS; SQL Server,Remote/International,"c#, .net framework, asp.net, html, css, sql server",6,Other Tech
.NET Developer,Global Company,C#; ASP.NET MVC; .NET Core basics; Entity Framework basics; SQL Server; Git,Remote/International,"c#, asp.net mvc, .net core basics, entity framework basics, sql server, git",6,Other Tech
.NET Developer,Global Company,C#; .NET Core; ASP.NET MVC; SQL Server; Entity Framework; REST APIs; Docker; Azure,Remote/International,"c#, .net core, asp.net mvc, sql server, entity framework, rest apis, docker, azure",8,Other Tech
.NET Developer,Global Company,C#; ASP.NET Core; SQL Server; Entity Framework; Design Patterns; SOLID Principles; Azure DevOps,Remote/International,"c#, asp.net core, sql server, entity framework, design patterns, solid principles, azure devops",7,Other Tech
.NET Developer,Global Company,C#; F#; .NET Core; ASP.NET MVC; Microservices; Docker; Kubernetes; Azure,Remote/International,"c#, f#, .net core, asp.net mvc, microservices, docker, kubernetes, azure",8,Other Tech
.NET Developer,Global Company,C#; ASP.NET Core; WebAPI; SignalR; SQL Server; NoSQL; Entity Framework,Remote/International,"c#, asp.net core, webapi, signalr, sql server, nosql, entity framework",7,Other Tech
.NET Developer,Global Company,C#; .NET Core; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper,Remote/International,"c#, .net core, asp.net mvc, blazor, angular, sql server, dapper",7,Other Tech
.NET Developer,Global Company,C#; .NET Core; ASP.NET MVC; REST APIs; Docker; Azure DevOps; Testing with NUnit,Remote/International,"c#, .net core, asp.net mvc, rest apis, docker, azure devops, testing with nunit",7,Other Tech
.NET Developer,Global Company,C#; ASP.NET Core; WebAPI; gRPC; SQL Server; Azure,Remote/International,"c#, asp.net core, webapi, grpc, sql server, azure",6,Other Tech
