source,title,link,location_raw,company_name,description_raw,skills,skills_count,role,location_city,region,jogja_tag,jabodetabek_tag,scraped_at,roadmap_url,is_tech,score
jobstreet,Software Developer,https://id.jobstreet.com/id/job/91908572,Jakarta Raya,PT Swadharma Duta Data,"Kami saat ini sedang mencari Software Developer yang kompeten dan berpengalaman untuk mendukung pengembangan solusi digital di sektor perbankan. Peran ini mencakup pengembangan aplikasi, integrasi sistem, peningkatan performa dan reliability, penerapan best practice engineering, serta memastikan standar keamanan dan kualitas aplikasi sesuai kebutuhan industri perbankan.

📍Jakarta, Indonesia

🕗Full WFO, Sen-Jum ; 08.00-17.00 WIB

📝Project-based kontrak

Deskripsi Pekerjaan:

Mengembangkan, menguji, dan memelihara aplikasi digital (web, mobile, dan backend services) khususnya di lingkungan digital banking.

Membangun dan mengimplementasikan arsitektur modern seperti Microservices, Event-Driven Architecture, serta Microfrontend.

Berkolaborasi dengan tim lintas fungsi menggunakan metodologi Agile/Scrum.

Mengembangkan aplikasi yang scalable, secure, dan high-performance.

Melakukan unit testing, integration testing, serta automation testing untuk memastikan kualitas aplikasi.

Mengelola integrasi API, messaging system, dan data processing.

Mendukung proses deployment dan CI/CD pipeline.


Kualifikasi:

Minimal pendidikan S1 di bidang Teknik Informatika, Sistem Informasi, Teknik Komputer, atau bidang terkait.

Pengalaman minimal 3 tahun sebagai Software Developer (Backend / Frontend / Mobile).

Memahami fundamental ilmu komputer, struktur data, dan basis data.

Menguasai salah satu atau lebih tech stack berikut:

Backend: Java (Spring Boot), Python, Node.js, .NET

Mobile: Swift (iOS), Kotlin (Android)

Frontend Web: JavaScript / TypeScript (Angular / Next.js)

Memahami arsitektur aplikasi seperti Clean Architecture, MVVM/VIPER, Modular Architecture.

Berpengalaman dengan:

Messaging: Kafka, RabbitMQ, Redis Pub/Sub

Database: SQL (Oracle/PostgreSQL), MongoDB, Redis

API & Data Transfer: REST API, SFTP, Object Storage (AWS S3)

Terbiasa dengan tools DevOps & CI/CD seperti Docker, Kubernetes, GitLab CI, Jenkins, Fastlane.

Memahami konsep authentication (SSO), security, serta best practice secure coding.

Memiliki pengalaman dalam testing (Unit, Integration, Automation).

Nilai tambah: memahami tracing, profiling, monitoring, serta implementasi microfrontend.

Dapat bergabung secepatnya","agile, android, angular, api, aws, ci/cd, cicd, database, docker, git, ios, java, javascript, kotlin, kubernetes, mongodb, nextjs, node, nosql, python, redis, security, springboot, sql, swift, testing, typescript",27,it-general,jakarta,Jabodetabek,False,True,2026-05-10 15:00:05,https://roadmap.sh/computer-science,True,87
jobstreet,Junior Software Engineer,https://id.jobstreet.com/id/job/91648206,Jakarta Raya,PT Technet Vision Indonesia,"Qualifications

Core Requirements

Bachelor’s degree in Computer Science, Software Engineering, Data Science, or related field.

1–3 years of professional experience in full-stack software development. Fresh graduate is welcome to apply.

Proficiency in front-end technologies: HTML, CSS, JavaScript, and frameworks such as React.js (preferred), Vue.js, or Angular.

Proven experience in back-end development using Node.js (preferred), Python, Java, Ruby, or similar languages.

Strong knowledge of SQL and NoSQL databases, including schema design and query optimization.

Experience in RESTful API development and integration.

Strong understanding of OOP principles and modern software development practices.

Hands-on experience with CI/CD pipelines, Git, and deployment to production environments.

Familiarity with Agile / Scrum development methodologies.




AI & Solution Architecture Skills

Experience implementing and deploying machine learning models and integrating AI into production systems.

Knowledge of LLM fine-tuning, prompt engineering, and AI deployment workflows.

Understanding of RAG pipelines, vector databases, and cloud-based AI architectures.

Ability to design, document, and present system architectures to both technical and non-technical audiences.




Additional Qualifications

Experience building LLM-based chatbots, AI automation platforms, or intelligent SaaS products.

Knowledge of LangChain, Pinecone, Weaviate, or other vector database solutions.

Familiarity with containerization and orchestration (Docker, Kubernetes).

Certifications such as AWS Machine Learning, Google Cloud AI Engineer, or Solution Architect Professional.




Responsibilities

Translate business requirements into technical system designs and end-to-end AI-driven solutions.

Develop and implement AI models and integrate them into full-stack applications.

Manage the entire software development lifecycle (SDLC) — from design to deployment.

Provide technical support and guidance during implementation and post-deployment phases.

Collaborate with cross-functional teams (data engineers, frontend developers, DevOps) to deliver complete solutions.

Advise the business team on AI trends, opportunities, and strategic innovation.

Design solutions with scalability, maintainability, and security in mind.

Recommend appropriate technologies, architectures, and frameworks based on client needs and project goals.

Serve as a technical consultant for stakeholders, presenting solutions and guiding decision-making.","agile, angular, api, aws, cicd, css, docker, gcp, git, html, java, javascript, kubernetes, node, nosql, python, react, security, sql, vue",20,backend,jakarta,Jabodetabek,False,True,2026-05-10 14:59:42,https://roadmap.sh/backend,True,66
jobstreet,Full Stack AI Developer,https://id.jobstreet.com/id/job/91502813,Jakarta Pusat,PT Kharsima Alpha Teknologi,"About the Role

We are looking for a Full Stack AI Engineer who can bridge the gap between advanced Artificial Intelligence and production-grade application development. In this role, you will not only build backend AI logic and integrate Large Language Models (LLMs); you will also design and develop the user interfaces and full-system architectures that make these tools accessible to our Operations, Product, and Engineering teams. You will own the entire lifecycle of internal AI products, from the database vector store to the React frontend.




Key Responsibilities:

End-to-End AI Application Development

Design, build, and maintain full-stack AI-enabled tools and dashboards, ensuring seamless integration between the frontend (UI) and backend AI services.

Develop intuitive user interfaces (using React) that allow non-technical stakeholders to interact with complex AI agents, chatbots, and automation workflows.

AI Integration & Backend Engineering

Integrate language models (LLMs) and AI components into existing platforms using Python and modern frameworks (e.g., LangChain, LangGraph).

Architect and develop robust RESTful APIs that serve AI model outputs to client applications with low latency.

Implement RAG (Retrieval-Augmented Generation) pipelines, managing both traditional databases (SQL) and vector databases for efficient context retrieval.

Collaboration & Strategy

Work closely with cross-functional stakeholders (Operations, Product) to translate business pain points into full-stack AI solutions.

Infrastructure & Quality

Assist in data preparation, model testing, and the deployment of containerized applications (Docker/Kubernetes) to cloud environments.

Participate in design reviews and code reviews for both frontend and backend stacks to ensure high engineering standards.

Monitor the performance of deployed models and applications, setting up observability for both system health (latency/errors) and model quality (hallucinations/accuracy).




Requirements:

Education & Experience

Bachelor’s degree in Computer Science, Engineering, or a related field.

2+ years of software development experience with a focus on full-stack web development.

Technical Skills (Full Stack)

Frontend: Proficiency in modern JavaScript/TypeScript frameworks (React) and CSS processors (Tailwind, SASS) for building responsive interfaces.

Backend: Expert-level proficiency in Python (for AI workloads) and experience with web frameworks (FastAPI, Django, or Flask). Experience with Node.js.

Databases: Strong grasp of SQL (PostgreSQL, MySQL) and experience with Vector Databases (Pinecone, Milvus, or pgvector).

AI & ML Capabilities

Familiarity with modern AI tools and frameworks (e.g., LangChain, LangGraph, Transformers, OpenAI APIs).

Solid understanding of key AI concepts: Prompt Engineering, Embeddings, RAG pipelines, and Multi-Agent systems.

Strong Computer Science fundamentals: algorithms, data structures, and systems design.

DevOps & Deployment

Exposure to deploying AI systems and web apps in production (e.g., CI/CD pipelines, Docker containers, AWS/GCP/Azure).

Experience managing state and asynchronous tasks (e.g., Redis, Celery, RabbitMQ) for handling long-running AI inference jobs.

Soft Skills

Strong analytical and problem-solving mindset with a willingness to experiment and iterate.

Passion for building practical, reliable AI systems that solve real internal problems at scale.

Why Join Us?

Opportunity to work in a dynamic and growing company with a commitment to innovation.

Collaborative work environment with a focus on continuous learning and development.","api, aws, azure, cicd, css, database, django, docker, fastapi, flask, gcp, java, javascript, kubernetes, node, python, react, redis, sql, typescript",20,backend,jakarta,Jabodetabek,False,True,2026-05-10 15:11:03,https://roadmap.sh/backend,True,66
jobstreet,Backend Programmer,https://id.jobstreet.com/id/job/92000167,Jakarta Raya,PT Nutech Integrasi,"Position Objective:

To develop, maintain, and optimise the web backend/API system in a reliable, secure, and efficient manner to support web, desktop, and mobile applications.

Education:

The candidate must hold a Bachelor’s degree (BSc) in Computer Science/Engineering, Telecommunications Engineering, Electrical/Electronic Engineering, another engineering discipline, or a related equivalent field.

Experience:

A minimum of 3–4 years of working experience as a backend programmer.

Technical Skills:

Proficiency in backend programming languages such as JavaScript, Java, Go, PHP, Python, or others.

Strong command of advanced JavaScript libraries and frameworks such as Node.js, Express.js, or Next.js.

A solid understanding of RESTful APIs.

Mastery of both relational (RDBMS) and NoSQL databases, specifically PostgreSQL and MongoDB.

Proficiency with source-code versioning tools such as GitLab.

Understanding of session management concepts in a distributed server environment.

Knowledge of user authentication and authorization across systems, servers, and varied environments (for example using JWT).

Understanding of system accessibility principles and compliance with security standards.

Awareness of and ability to apply OWASP security principles.

Basic knowledge of frontend technologies and platforms such as JavaScript, HTML5, and CSS3.

Solid comprehension of server-side CSS preprocessors such as LESS and SASS.

Capability to integrate various data sources and databases into a unified system.

Ability to manage hosting, including database administration and application scaling in response to changing loads.

Experience in data migration, data transformation, and scripting.

Capability to set up and administer a backup system.

Ability to produce output data in various formats as required.

Competency in designing database schemas that reflect and support business processes.

Ability to implement automated testing platforms and unit testing.

Understanding message brokers.

Responsibilities:

Develop web-based APIs according to client needs and specifications.

Ensure all development adheres to the technical standards and guidelines established by the client.

Perform application analysis, programming, testing, debugging, and bug fixing.

Conduct application testing — including unit tests and integration tests.

Execute load testing based on scenarios agreed upon with the client.

Carry out application deployment to the production environment.

Build reusable code and libraries for future development.

Optimise the application to achieve maximum performance and scalability.

Implement system security and data protection across all backend processes.

Design and implement efficient and reliable data storage solutions.","accessibility, api, css, database, express, git, go, html, java, javascript, mongodb, nextjs, node, nosql, php, python, security, sql, testing",19,backend,jakarta,Jabodetabek,False,True,2026-05-10 14:58:48,https://roadmap.sh/backend,True,63
jobstreet,Software Engineer Internship,https://id.jobstreet.com/id/job/91761487,Tangerang,OPPO Indonesia,"Contract Duration: 3 Months (May - July 2026)

Location: Jl Kawasan Industri Bayur, Tangerang (Full WFO)




Key Responsibilities:

Design and test the web-based dashboard to optimize manufacturing flow and capacity

Develop lightweight Generative AI chatbots to provides step-by-step guidance from internal & external resources

Deploy AI solutions on-premise integrated with production requirement databases

Coordinate cross-functionally with the supply chain team to align technology solutions with business needs




Requirements:

Frontend skills: React.js (include Next.js), Tailwind CSS, shadcn/ui, Recharts & Chart.js, Axios, Three.js (3D Model Library)

Backend skills: REST API, JSON Web Token, PostgreSQL, FastAPI, Web Scraping (BeautifulSoup Phyton), Data Manipulation (NumPy, Pandas), OpenPyXL, Network & Security

Programming languages: Phyton, JavaScript/Typescript, SQL, Go

Tools & Technologies: Git/GitHub (Version Control), Postman, TamperMonkey (Browser Script), Wireshark (Network Analysis)

In-depth understanding of AI/ML, especially Machine Learning and Generative AI in manufacturing optimization

Experience integrating on-premise AI solutions with production systems or internal databases

Strong data analysis, cross-functional collaboration, communication, and teamwork in a multidisciplinary environment

Available for a 3-month internship (Full WFO arrangement)","api, css, database, fastapi, git, go, java, javascript, nextjs, numpy, pandas, postman, react, security, sql, typescript",16,it-general,tangerang,Jabodetabek,False,True,2026-05-10 14:57:54,https://roadmap.sh/computer-science,True,57
jobstreet,Full Stack Software Engineer (CAD Rooms Cloud PDM),https://id.jobstreet.com/id/job/91584877,Jakarta Raya,Cavalry Collective Pte. Ltd,"About the Role

We are looking for a talented Full Stack Software Engineer to join our engineering team. In this
role, you will design, build, and maintain scalable web applications and services across the
entire technology stack. You will collaborate closely with product managers, designers, and
fellow engineers to deliver high-quality software that powers our platform and delights our users.


Responsibilities

Design, develop, and maintain full stack applications using TypeScript across frontend
and backend services.

Build and manage containerized applications and development environments with
Docker.

Design, implement, and optimize PostgreSQL database schemas, queries, and
migrations.

Collaborate with cross-functional teams to translate product requirements into robust,
scalable technical solutions.

Write clean, well-tested, and well-documented code following engineering best practices.

Participate in code reviews and contribute to improving team development processes
and tooling.

Troubleshoot and resolve production issues, ensuring high availability and performance
of services.

Contribute to architectural decisions and help shape the technical direction of the
platform.


Required Qualifications

3+ years of professional experience in full stack software development.

Strong proficiency in TypeScript for both frontend (React, Next.js, or similar) and
backend (Node.js) development.

Hands-on experience with Docker for containerization, orchestration, and local
development workflows.

Solid experience designing and working with PostgreSQL, including schema design,
query optimization, and migrations.

Familiarity with RESTful APIs and/or GraphQL.

Experience with version control systems (Git) and CI/CD pipelines.

Strong problem-solving skills and a passion for writing high-quality, maintainable code.

Excellent communication and collaboration skills in a team environment.


Nice to Have

Experience with advanced PostgreSQL features such as trigger functions, Row Level
Security (RLS), stored procedures, and database access policies.

Experience with Deno as an alternative or complement to Node.js for backend
development.

Experience with AWS services (EC2, S3, Lambda, RDS, ECS, or similar).

Proficiency or working knowledge of Golang for building performant backend services or
microservices.

Proficiency or working knowledge of Rust, particularly for maintaining and developing
our desktop application built with Tauri.

Experience with 3D-related engineering, such as WebGL, Three.js, Unity, Unreal
Engine, or real-time rendering pipelines.

Familiarity with infrastructure-as-code tools (Terraform, CloudFormation) and
Kubernetes.

Experience with performance profiling, monitoring, and observability tools.","api, aws, cicd, database, docker, git, go, graphql, javascript, kubernetes, nextjs, node, react, rust, security, sql, typescript",17,fullstack,jakarta,Jabodetabek,False,True,2026-05-10 15:00:44,https://roadmap.sh/full-stack,True,57
jobstreet,Middle AI Engineer,https://id.jobstreet.com/id/job/91915991,Banten,PT Fata Organa Solusi,"Here's the updated version with years of experience added:

Role Description

We are seeking a motivated and detail-oriented Middle AI Engineer to join our engineering team at PT Fata Organa Solusi. In this role, you will focus on designing, building, and deploying AI-powered solutions, integrating large language models (LLMs) into production systems, and developing machine learning pipelines that deliver real business value. You will collaborate closely with product, data, and software engineering teams to translate business problems into AI solutions, fine-tune and evaluate models, and ensure the reliability and scalability of AI services in production. This is an excellent opportunity for a highly responsible individual with a passion for artificial intelligence, applied machine learning, and emerging LLM technologies who is eager to grow within a supportive, innovation-focused environment. Your technical skills and commitment to good teamwork will be essential in delivering robust and impactful AI solutions.

Responsibilities:

You will design, implement, and maintain AI/ML pipelines covering data preparation, model training, evaluation, and deployment using frameworks such as PyTorch, TensorFlow, scikit-learn, or similar.

You will build and integrate LLM-based applications using APIs and frameworks such as OpenAI, Anthropic Claude, Azure OpenAI, LangChain, LlamaIndex, or similar, including prompt engineering, RAG (Retrieval-Augmented Generation), and agentic workflows.

You will develop and maintain vector databases and embedding pipelines (e.g., Pinecone, Weaviate, Qdrant, pgvector, FAISS) to support semantic search and retrieval use cases.

You will deploy AI models and services to production using containerization (Docker) and cloud platforms such as Azure, AWS, or Google Cloud Platform, ensuring scalability, latency, and cost efficiency.

You will implement evaluation frameworks, guardrails, and monitoring for AI systems to track model performance, hallucinations, drift, and safety in production.

You will collaborate with product and engineering teams to translate business requirements into AI solutions, define success metrics, and iterate based on feedback and data.

You will fine-tune, adapt, and optimize models (including small language models, embeddings, and classical ML models) when off-the-shelf solutions are insufficient.

You will manage version control workflows for code, prompts, datasets, and models, including reproducibility and experiment tracking using tools like Git, MLflow, or Weights & Biases.

You will troubleshoot AI/ML system issues, applying strong problem-solving skills to diagnose problems across data, model, and infrastructure layers.

You will document model designs, prompt strategies, evaluation results, and operational runbooks to maintain knowledge across the team.

You will proactively engage in self-learning to keep up with the rapidly evolving AI landscape, and if necessary, be willing to unlearn and relearn methods to maintain industry best practices.

Requirements:

Minimum 3 years of professional experience in AI/ML engineering, data science, or a closely related software engineering role, with at least 1 year working on AI/LLM-based applications in production.

Solid understanding of machine learning fundamentals (supervised/unsupervised learning, evaluation metrics, overfitting, regularization, etc.).

Hands-on experience building applications with LLMs through APIs (OpenAI, Anthropic, Azure OpenAI, or similar) and/or open-source models (Llama, Mistral, Qwen, or similar).

Strong proficiency in Python, including common libraries such as NumPy, pandas, and at least one ML framework (PyTorch, TensorFlow, or scikit-learn).

Experience with at least one cloud platform: Azure, AWS, or Google Cloud Platform, including their AI/ML services.

Experience with containerization technologies, particularly Docker.

Practical experience with prompt engineering, RAG architectures, embeddings, and vector search.

Experience building and consuming RESTful APIs, with familiarity in frameworks such as FastAPI or Flask.

Experience with any RDBMS systems: SQL Server, PostgreSQL, MySQL, or similar, with solid SQL proficiency.

Strong understanding of Git concepts (branching, PR, commit, merge, tagging).

Strong sense of responsibility, good teamwork, and communication skills.

Strong problem-analyzing and problem-solving skills, with good debugging ability across data, code, and model layers.

Willingness to self-learn new things, and if necessary, unlearn and relearn methods, especially given the fast pace of AI advancement.

Fluent in English, proven by an interview in English (equivalent to at least 525 TOEFL PBT or 5.5 IELTS or 55 TOEFL iBT).

Advantageous if:

Have experience deploying AI/ML models to production at scale (model serving, batching, GPU optimization).

Experience with agentic frameworks and tool use (LangChain, LlamaIndex, LangGraph, AutoGen, or similar).

Exper","api, aws, azure, cicd, database, docker, fastapi, flask, gcp, git, numpy, pandas, python, pytorch, sklearn, sql, tensorflow",17,ai/ml,tangerang,Jabodetabek,False,True,2026-05-10 15:16:20,https://roadmap.sh/ai-data-scientist,True,57
jobstreet,Web Developer (PHP / Laravel),https://id.jobstreet.com/id/job/92002622,Jakarta Selatan,Kop. Nusantara,"Responsibilities

Develop and maintain in-house web applications to support business operations.

Implement backend features using PHP 8+ and Laravel (Queues, Jobs, Events, API Resources).

Build and maintain RESTful APIs (authentication, error handling, pagination).

Develop frontend UI components with JavaScript, HTML5, and CSS3 (responsive layouts).

Work with MySQL/PostgreSQL databases, writing complex queries and improving performance.

Collaborate with System Analysts, QA, and Infrastructure teams to meet requirements and standards.

Perform debugging and troubleshooting across application layers.

Follow best practices (clean code, documentation, coding standards) and participate in code reviews.

Support deployment and configuration in Linux-based environments.

Requirements

Bachelor's degree in Computer Science or related field.

Minimum 2 years experience with PHP 8+ and Laravel.

Solid understanding of JavaScript, HTML5, CSS3, and RESTful APIs.

Proficient with Git, SQL databases (MySQL/PostgreSQL).

Familiar with Linux-based environments (SSH, file structure, permissions).

Strong problem-solving skills and experience with code optimization.

Nice to Have

Experience with Vue.js, React, or Next.js.

Experience with Docker, CI/CD tools, and microservices.

Knowledge of security best practices and Laravel optimizations.","api, cicd, database, docker, git, html, java, javascript, laravel, linux, networking, nextjs, php, react, security, sql, vue",17,backend,jakarta,Jabodetabek,False,True,2026-05-10 15:22:01,https://roadmap.sh/backend,True,57
jobstreet,Junior Full Stack Engineer,https://id.jobstreet.com/id/job/91625021,Yogyakarta,PT INTAN PARIWARA,"Kualifikasi:

Fresh Graduate di bidang Ilmu Komputer, Teknologi Informasi, atau bidang terkait atau Software Engineer dengan pengalaman kerja 1 tahun

Memiliki pengetahuan dasar tentang HTML, CSS, JavaScript, dan salah satu framework frontend (React, Vue, atau Angular)

Familiar dengan teknologi backend seperti Node.js, Python (Django/Flask), atau PHP (Laravel).

Memahami database (SQL / NoSQL)

Memiliki semangat belajar dan pemecahan masalah yang baik

Mampu berkomunikasi dengan baik dan bekerja dalam tim

Bersedia untuk ditempatkan di Yogyakarta","angular, css, django, flask, html, java, javascript, laravel, node, nosql, php, python, react, sql, vue",15,backend,yogyakarta,Yogyakarta,True,False,2026-05-10 15:10:47,https://roadmap.sh/backend,True,54
glints,Fullstack Developer IT Intern,https://glints.com/id/opportunities/jobs/fullstack-developer-it-intern/4cb463bf-9261-43b3-96fc-0c5052a064fe,,CRISBAR,"Deskripsi pekerjaan Fullstack Developer IT Intern CRISBAR

Job Deskripsi :

Develop a mobile-first web application (frontend & backend)
Build core systems: User registration & login (phone number/OTP-based), Loyalty points & reward system, Referral / invite-a-friend feature
Develop features: User dashboard (points, transaction history, rewards), Reward catalog & redemption system.
Build an admin dashboard to : Manage members, rewards, and point rules
Integrate with POS system (transaction → points conversion)
Perform testing, debugging, and deployment

Kualifikasi :

Currently pursuing or recently completed a degree in Information Systems, Computer Science, Business, or related field.
Basic understanding of: HTML, CSS, JavaScript
Familiar with one of: React.js / Next.js (frontend)
Proficient in one of: Node.js (Express/NestJS) (preferred), or Python (FastAPI/Django)
Understand: REST APIs, Databases (MySQL / PostgreSQL)
Familiar with Git
Nice to Have: Experience building fullstack projects. Experience with: Authentication systems (OTP/login), Point-based or transaction systems
Familiar with: Deployment (Vercel, Railway, VPS, etc.) , API integrations, Progressive Web Apps (PWA)","api, css, database, django, express, fastapi, git, html, java, javascript, nextjs, node, python, react, sql",15,backend,bandung,Jawa Barat,False,False,2026-05-10 14:44:17,https://roadmap.sh/backend,True,52
